,reward,mailer_type,income_level,n_bank_accounts_open,overdraft_protection,credit_rating,n_credit_cards_held,n_homes_owned,household_size,own_your_home,average_balance,q1_balance,q2_balance,q3_balance,q4_balance,offer_accepted
3257,Points,Letter,Low,1,No,Low,1,1,3,Yes,796.25,875.0,817.0,913.0,580.0,No
14091,Cash Back,Letter,High,1,No,High,1,1,4,No,691.5,633.0,714.0,839.0,580.0,No
17881,Points,Letter,Medium,1,No,Low,3,2,4,No,128.25,225.0,214.0,7.0,67.0,No
17701,Points,Letter,Low,1,No,Low,1,1,3,Yes,175.75,198.0,51.0,349.0,105.0,No
3091,Cash Back,Postcard,Medium,1,No,Medium,1,1,5,Yes,995.0,1367.0,842.0,775.0,996.0,No
10964,Air Miles,Postcard,Medium,2,No,Low,2,1,4,Yes,645.0,535.0,660.0,541.0,844.0,No
4492,Air Miles,Letter,Medium,1,Yes,High,2,1,3,Yes,1030.75,1787.0,1248.0,992.0,96.0,No
8136,Cash Back,Postcard,High,1,No,Medium,3,1,4,Yes,376.25,235.0,398.0,442.0,430.0,No
16627,Points,Postcard,Medium,1,No,Medium,1,1,5,No,685.0,248.0,415.0,917.0,1160.0,No
7115,Air Miles,Postcard,Low,2,Yes,Medium,1,1,5,Yes,1182.25,1282.0,1618.0,1278.0,551.0,No
5074,Air Miles,Postcard,Medium,1,No,Medium,3,1,4,Yes,905.25,1547.0,1022.0,757.0,295.0,No
7290,Air Miles,Letter,Medium,2,No,High,3,1,3,Yes,1230.0,1954.0,1657.0,849.0,460.0,No
1990,Points,Letter,Medium,1,No,Medium,1,1,2,Yes,753.0,919.0,604.0,797.0,692.0,No
7170,Cash Back,Letter,High,2,No,Low,3,1,4,No,564.25,518.0,521.0,649.0,569.0,No
8664,Points,Postcard,High,1,No,High,2,1,4,Yes,792.75,704.0,879.0,958.0,630.0,No
1850,Cash Back,Postcard,High,2,No,High,3,2,2,Yes,930.5,1344.0,1333.0,784.0,261.0,No
1381,Cash Back,Letter,Medium,1,No,Low,3,1,3,No,201.75,217.0,403.0,69.0,118.0,No
8091,Air Miles,Letter,Medium,1,No,High,1,1,6,Yes,1388.0,1067.0,1287.0,1450.0,1748.0,No
9281,Points,Letter,High,1,No,Low,3,1,3,No,190.5,70.0,49.0,390.0,253.0,Yes
14141,Air Miles,Letter,High,1,No,High,3,1,3,Yes,1044.0,869.0,479.0,953.0,1875.0,No
4016,Air Miles,Letter,High,1,No,Low,3,1,2,Yes,887.75,162.0,1083.0,1073.0,1233.0,No
14183,Air Miles,Postcard,Low,1,No,High,2,2,4,Yes,232.5,237.0,186.0,71.0,436.0,No
8349,Air Miles,Postcard,Medium,1,Yes,High,1,2,4,Yes,1071.25,1969.0,1420.0,571.0,325.0,No
3954,Cash Back,Letter,High,1,No,High,2,2,4,Yes,1072.25,1840.0,1417.0,624.0,408.0,No
8758,Points,Letter,Medium,1,No,Medium,2,3,6,No,1114.75,1645.0,1446.0,954.0,414.0,No
6075,Cash Back,Postcard,High,1,No,Medium,2,1,4,Yes,858.0,674.0,643.0,852.0,1263.0,No
12131,Air Miles,Postcard,Low,1,No,Medium,1,1,3,Yes,932.0,66.0,655.0,1752.0,1255.0,No
10759,Cash Back,Letter,Medium,2,Yes,Medium,1,2,5,No,941.75,6.0,1218.0,2023.0,520.0,No
3979,Cash Back,Postcard,Medium,1,No,High,1,1,4,No,1047.25,222.0,1513.0,1810.0,644.0,No
14234,Cash Back,Letter,High,1,No,Medium,1,2,4,Yes,1094.0,965.0,1330.0,1463.0,618.0,No
4919,Points,Postcard,Low,1,No,Low,3,1,3,Yes,1331.25,797.0,1680.0,1881.0,967.0,No
17568,Points,Postcard,High,1,No,Low,2,1,2,Yes,976.25,1810.0,1009.0,724.0,362.0,No
2846,Air Miles,Postcard,Low,1,Yes,High,2,2,3,No,1736.0,1846.0,1504.0,1806.0,1788.0,Yes
5819,Air Miles,Letter,Medium,1,No,High,1,1,3,Yes,1129.25,969.0,1257.0,1012.0,1279.0,No
15949,Points,Letter,Low,1,Yes,Medium,3,2,3,Yes,1134.75,1649.0,1006.0,1006.0,878.0,No
5361,Points,Postcard,Medium,1,No,Medium,2,2,2,No,732.5,806.0,655.0,758.0,711.0,No
1137,Cash Back,Letter,Medium,1,No,High,1,1,5,Yes,1030.25,126.0,865.0,1200.0,1930.0,No
1389,Points,Letter,Medium,1,Yes,High,2,1,5,Yes,1085.25,1644.0,1490.0,834.0,373.0,No
15334,Cash Back,Postcard,Medium,1,No,High,1,1,5,Yes,211.75,157.0,122.0,299.0,269.0,No
11054,Points,Postcard,Low,1,Yes,Medium,1,1,4,Yes,1273.5,635.0,846.0,1488.0,2125.0,No
1303,Points,Postcard,High,1,No,Low,2,1,3,Yes,1173.75,563.0,1459.0,1813.0,860.0,No
5032,Points,Letter,Medium,1,No,Medium,1,1,3,Yes,255.0,435.0,139.0,193.0,253.0,No
5577,Cash Back,Postcard,High,1,Yes,Low,3,1,3,No,219.75,28.0,437.0,187.0,227.0,No
6874,Cash Back,Letter,Low,2,No,Low,2,1,5,Yes,1131.5,128.0,698.0,1687.0,2013.0,No
16382,Cash Back,Postcard,Medium,1,No,Medium,2,2,3,Yes,165.0,158.0,270.0,150.0,82.0,No
4815,Air Miles,Letter,Medium,1,No,Low,3,1,5,Yes,926.0,1568.0,1323.0,764.0,49.0,No
16205,Air Miles,Letter,Low,1,No,High,2,1,4,Yes,1012.25,569.0,983.0,1265.0,1232.0,No
910,Points,Letter,Medium,2,No,High,2,1,3,Yes,786.25,698.0,822.0,728.0,897.0,No
17327,Points,Postcard,Low,2,No,Low,1,2,2,Yes,895.25,751.0,958.0,933.0,939.0,No
1881,Cash Back,Letter,Medium,1,No,Medium,2,2,5,Yes,1751.25,1569.0,1790.0,1706.0,1940.0,No
14205,Points,Letter,Low,1,No,Low,1,1,2,Yes,1105.0,562.0,1311.0,1703.0,844.0,No
8796,Points,Letter,Medium,1,Yes,Medium,3,2,3,Yes,282.75,338.0,484.0,250.0,59.0,No
8423,Points,Postcard,Medium,1,No,High,1,2,4,Yes,854.0,1778.0,867.0,428.0,343.0,No
8370,Points,Postcard,Medium,1,No,High,1,1,2,Yes,230.0,446.0,42.0,44.0,388.0,No
